Complexity metrics,Fri, 5 Apr 2019 16:21:49 BST,,,,,,,
com.inet.jortho.Tokenizer.nextParagraph(),3,2,16,3,,,,,
com.inet.jortho.Tokenizer.nextSentence(),1,1,10,1,,,,,
com.inet.jortho.Tokenizer.setSentencesText(),1,3,16,3,,,,,
com.inet.jortho.Tokenizer.updatePhrase(),1,1,12,1,,,,,
com.inet.jortho.Utils.getButton(String),1,3,20,3,,,,,
com.inet.jortho.Utils.getCapitalized(String),2,3,13,3,,,,,
com.inet.jortho.Utils.getInvertedCapitalizion(String),4,4,19,4,,,,,
com.inet.jortho.Utils.getLabel(String),1,2,16,2,,,,,
com.inet.jortho.Utils.getList(),2,2,13,2,,,,,
com.inet.jortho.Utils.getResource(String),1,3,18,3,,,,,
com.inet.jortho.Utils.getTextField(),1,2,14,2,,,,,
com.inet.jortho.Utils.isAllCapitalized(String),3,3,16,4,,,,,
com.inet.jortho.Utils.isFirstCapitalized(String),1,2,10,2,,,,,
com.inet.jortho.Utils.isIncludeNumbers(String),3,2,16,3,,,,,
com.inet.jortho.Utils.replaceUnicodeQuotation(String),2,5,38,7,,,,,
com.inet.jortho.Utils.setDialogIcon(JDialog),1,1,16,2,,,,,
com.inet.jortho.UtilsTest.testRemoveUnicodeQuotation(),1,1,6,1,,,,,
"com.inet.jortho.WordIterator.WordIterator(InputStream,String)",1,1,15,1,,,,,
com.inet.jortho.WordIterator.WordIterator(Reader),1,1,14,1,,,,,
com.inet.jortho.WordIterator.WordIterator(URL),1,1,14,1,,,,,
com.inet.jortho.WordIterator.createInflaterStream(URL),1,1,13,1,,,,,
com.inet.jortho.WordIterator.hasNext(),1,1,6,1,,,,,
com.inet.jortho.WordIterator.next(),2,3,19,4,,,,,
com.inet.jortho.WordIterator.remove(),1,1,6,1,,,,,
,,,,,,,,,
Class,LOC,OCavg,WMC,,,,,,
com.inet.jortho.SpellChecker,656,1.76,67,,,,,,
com.inet.jortho.SpellCheckerDialog,243,2.75,44,,,,,,
com.inet.jortho.DictionaryBase,213,3.7,37,,,,,,
com.inet.jortho.Tokenizer,222,2.83,34,,,,,,
com.inet.jortho.AutoSpellChecker,199,2.46,32,,,,,,
com.inet.jortho.Utils,214,2.67,32,,,,,,
com.inet.jortho.Dictionary,186,1.93,27,,,,,,
com.inet.jortho.CheckerListener,192,2.78,25,,,,,,
com.inet.jortho.DictionaryEditDialog,146,2.62,21,,,,,,
com.inet.jortho.SpellCheckerOptions,142,1,15,,,,,,
com.inet.jortho.SpellChecker.LanguageAction,80,2,12,,,,,,
com.inet.jortho.DictionaryFactory,80,1.83,11,,,,,,
com.inet.jortho.MemoryTest,72,3.67,11,,,,,,
com.inet.jortho.DictionaryFactory.Node,50,3,9,,,,,,
com.inet.jortho.WordIterator,95,1.29,9,,,,,,
com.inet.jortho.FileUserDictionary,73,1.6,8,,,,,,
com.inet.jortho.Suggestion,63,1.14,8,,,,,,
com.inet.jortho.LowMemoryArrayList,69,1.75,7,,,,,,
com.inet.jortho.Suggestions,45,1.75,7,,,,,,
com.inet.jortho.EventTest,45,3,6,,,,,,
com.inet.jortho.LanguageBundle,41,1.5,6,,,,,,
com.inet.jortho.SpellChecker.ActionToggleButtonModel,38,2,6,,,,,,
com.inet.jortho.AllTests,32,2.5,5,,,,,,
com.inet.jortho.PopupListener,25,1.25,5,,,,,,
com.inet.jortho.RedZigZagPainter,43,1.67,5,,,,,,
com.inet.jortho.AboutDialog,59,2,4,,,,,,
com.inet.jortho.AddWordAction,43,1.33,4,,,,,,
com.inet.jortho.CheckerMenu,23,2,4,,,,,,
com.inet.jortho.DefaultMessageHandler,37,1,4,,,,,,
com.inet.jortho.DictionaryEditDialog.ImportAction,29,4,4,,,,,,
com.inet.jortho.LanguageBundle_fr,29,4,4,,,,,,
com.inet.jortho.SpellChecker.AbtsractLanguageAction,27,2,4,,,,,,
com.inet.jortho.DictionaryEditDialog.ExportAction,24,3,3,,,,,,
com.inet.jortho.LanguageChangeEvent,35,1,3,,,,,,
com.inet.jortho.SpellChecker.DisableLanguageAction,26,1.5,3,,,,,,
com.inet.jortho.DictionaryEditDialog.DeleteAction,13,2,2,,,,,,
com.inet.jortho.CheckerPopup,9,1,1,,,,,,
com.inet.jortho.UtilsTest,8,1,1,,,,,,
,,,,,,,,,
Package,v(G)avg,v(G)tot,,,,,,,
com.inet.jortho,2.54,562,,,,,,,
,,,,,,,,,
Module,v(G)avg,v(G)tot,,,,,,,
JOrtho,2.54,562,,,,,,,
,,,,,,,,,
Project,L(J),v(G)avg,v(G)tot,,,,,,
project,"4,697",2.54,562,,,,,,
